name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Xanadu Land,17-01-2024,26815,0.0,49957.0,14.0,82.0,Indie,whiteisle Studio,whiteisle Studio,2258890
PC Tycoon 2,28-03-2024,7036,8.0,49651.0,7.0,80.0,Indie,Insignis Games,Insignis Games,2832320
Creepy Tale: Some Other Place,30-05-2024,6347,10.0,49590.0,2.8,,Indie,Creepy Brothers,Creepy Brothers,2476100
混沌战域,09-05-2024,19862,0.0,49428.0,6.1,75.0,Indie,XQ-game,XQ-game,2936360
Redemption of Li Wei,11-04-2024,9601,7.0,49239.0,1.0,54.0,Indie,救赎,"救赎,Avator",2873820
Mika and The Witch's Mountain,21-08-2024,3038,20.0,49191.0,3.4,96.0,Indie,Chibig,"Chibig,Nukefist",1819460
Wantless : Solace at World’s End,16-05-2024,4026,18.0,49173.0,22.3,92.0,Indie,Twin Sails Interactive,Drop Rate Studio,1807090
Dragon Eclipse,24-06-2024,4688,13.0,49153.0,4.0,77.0,Indie,Awaken Realms,Fardust,2626860
BATTLE CRUSH,26-06-2024,62503,0.0,49147.0,16.6,49.0,Indie,NCSOFT Corporation,NCSOFT Corporation,2287920
Hilda and the tower of Lust,19-04-2024,4014,16.0,49054.0,1.8,83.0,Indie,072 Project,キラ☆タマ,2551290
Director Simulator,26-07-2024,5036,13.0,49036.0,6.5,,Indie,GOLDEN AGE,GOLDEN AGE,2803060
Plane Accident,20-02-2024,5489,12.0,49026.0,1.9,70.0,Indie,"Duality Games,HeartBeat Games","White Pig Games,Spirit Games Studio",1682340
Geneforge 2 - Infestation,27-03-2024,3048,20.0,49010.0,24.3,99.0,Indie,Spiderweb Software,Spiderweb Software,2480560
"Ready, Steady, Ship!",19-04-2024,4620,15.0,48929.0,3.1,76.0,Indie,"Untold Tales,Gamersky Games",Jollybits Games,2225610
The Fancy Pants Adventures: Classic Pack,18-02-2024,6308,10.0,48853.0,2.7,94.0,Indie,2 Left Thumbs,Borne Games,1668460
Chushpan Simulator,01-02-2024,47089,2.0,48823.0,1.3,84.0,Indie,Sebasa Games,Sebasa Games,2755330
The Star Named EOS,22-07-2024,4088,15.0,48781.0,2.0,98.0,AA,PLAYISM,Silver Lining Studio,1619230
Akimbot,29-08-2024,2972,20.0,48668.0,4.9,89.0,Indie,PLAION,Evil Raptor,1843540
Sex College 🔞,23-03-2024,6811,10.0,48572.0,4.7,75.0,Indie,Lust Desires 🖤,Lust Desires 🖤,2820590
Hero Emblems II,05-08-2024,4958,12.0,48495.0,11.2,57.0,Indie,HeatPot Games,HeatPot Games,2417940
Island of Penance,12-04-2024,5107,13.0,48490.0,2.7,58.0,Indie,Kagura Games,ONEONE1,1287130
ダンジョンアーティファクト,03-04-2024,6339,10.0,48382.0,10.6,95.0,Indie,ExertionGame,いとこん,2144220
RUMBLE BLAZING,02-08-2024,2468,25.0,48303.0,2.5,74.0,Indie,Nekonomeme,Nekonomeme,2827610
CATO: Buttered Cat,05-09-2024,5423,11.0,48270.0,2.4,99.0,Indie,GCORES PUBLISHING,Team Woll,1999520
Prisoners,15-08-2024,15169,5.0,48107.0,4.4,81.0,Indie,Brave Cat Games,Brave Cat Games,2725200
Only Up !,04-03-2024,7742,7.0,47875.0,1.3,24.0,Indie,WGI GAMING,WGI GAMING,2842590
Time to Morp,07-03-2024,3073,20.0,47790.0,6.8,86.0,Indie,Yogscast Games,Team HalfBeard,977510
Ad Fundum,13-06-2024,8182,7.0,47737.0,7.3,96.0,Indie,Oldbut Gold,Oldbut Gold,2647820
Angel Tear: Goddess Betrayed,19-07-2024,3242,20.0,47476.0,3.1,89.0,Indie,Kagura Games,SYRUP many milk,2420640
AMANATSU ~Perfect Edition~,16-05-2024,3238,20.0,47037.0,12.4,97.0,Indie,Shiravune,AZARASHI SOFTWARE,2825300
Sex Faculty🔞,09-03-2024,7182,10.0,46668.0,1.9,76.0,Indie,BanzaiProject,BanzaiProject,2834180
Terra Randoma,23-05-2024,4392,15.0,46626.0,17.7,90.0,Indie,Deniz K.,Deniz K.,1120400
City Lights Love Bites Season 0 [Pilot Season],12-07-2024,27901,2.0,46602.0,0.9,92.0,Indie,NaughtyOba,NaughtyOba,3011560
KALPA: Cosmic Symphony,15-08-2024,2583,20.0,46470.0,2.2,88.0,Indie,"QueseraGames Co., Ltd.","QueseraGames Co., Ltd.",2717010
Perfect Round Disc Golf,07-03-2024,3116,20.0,46195.0,13.0,85.0,Indie,Tree Branch Games,Tree Branch Games,1029570
Morbid: The Lords of Ire,17-05-2024,2510,25.0,46151.0,7.0,70.0,Indie,Merge Games,Still Running,2171560
Intergalactic Ecstasy,26-01-2024,3132,18.0,46101.0,2.6,79.0,Indie,HFTGames,HFTGames,2706390
Time Survivors,15-01-2024,12782,5.0,46036.0,4.5,,Indie,Lunar Chili,Lunar Chili,2211390
Seal: WHAT the FUN,03-05-2024,4629,15.0,45723.0,41.2,92.0,Indie,PLAYWITH KOREA Inc.,PLAYWITH GAMES Inc.,2347910
Lost:Antinomy,24-03-2024,22208,3.0,45518.0,5.6,93.0,Indie,IMaiIna,IMaiIna,2521180
"Rolling Hills: Make Sushi, Make Friends",04-06-2024,3510,15.0,45463.0,5.8,90.0,AA,Humble Games,"Catch & Release, LLC",1235100
CLeM,06-02-2024,3701,16.0,45414.0,3.5,92.0,Indie,Iceberg Interactive,Mango Protocol,1861440
Dungeon Dreams 2,08-02-2024,2784,20.0,45410.0,43.5,93.0,Indie,DDreams Games,DDreams Games,1843470
Dreamlike Love with Seira,23-08-2024,7884,7.0,45337.0,2.3,98.0,Indie,JAST,るび様崇める会,2986260
Rocking Legend,17-06-2024,2552,25.0,45198.0,3.1,77.0,Indie,Domuro Soft,Domuro Soft,1260800
七度荒域：混沌之树,16-08-2024,6965,12.0,45169.0,3.6,81.0,Indie,Lightimpact,Lightimpact,3088410
"SEX, BEACH & GIRLS ⛱ 💦",10-08-2024,8167,7.0,45074.0,2.1,84.0,Indie,Taboo Tales 💘,Pocket Rocket Studio 🚀,3009830
Spanky!,29-04-2024,5721,10.0,44989.0,2.5,83.0,Indie,HappyHead Games,HappyHead Games,1732420
Deathbound,08-08-2024,1843,30.0,44908.0,7.4,80.0,Indie,Tate Multimedia,Trialforge Studio,1277130
NINJA SLAYER NEO-SAITAMA IN FLAMES(ニンジャスレイヤー ネオサイタマ炎上),23-07-2024,2496,20.0,44905.0,1.7,41.0,Indie,"KADOKAWA CORPORATION,KADOKAWA Game Linkage,ABC ANIMATION",Skeleton Crew Studio,2752330
Undead Inc.,02-05-2024,2610,20.0,44449.0,5.7,37.0,AA,Team17,Rightsized Games,2104880
Disco Simulator,05-03-2024,3817,15.0,44231.0,5.4,79.0,Indie,"Games Incubator,PlayWay S.A.","Games Incubator,Frozen Cave Studio",1226970
Stories from the Outbreak,20-02-2024,3683,20.0,44160.0,10.8,87.0,Indie,Coldwild Games,Coldwild Games,1968630
Taimanin Yukikaze,29-04-2024,4008,15.0,44103.0,4.9,91.0,Indie,Shiravune,Lilith,2739700
Kurone's Feelings ~Apprentice Witch of Starfall Village~,26-01-2024,3644,15.0,43908.0,1.6,90.0,Indie,OTAKU Plan,Bielograf,2307300
Project L33T,25-07-2024,1626,30.0,43887.0,10.3,65.0,Indie,Holmgard Games,Holmgard Games,2803360
Croakoloco,06-05-2024,9864,6.0,43768.0,15.2,93.0,Indie,Ryan Forrester,Ryan Forrester,2628420
Class of Heroes 2G: Remaster Edition,26-04-2024,2675,20.0,43725.0,13.6,65.0,Indie,"PQube,ACQUIRE Corp.",Zerodiv,2195790
Kanon,19-06-2024,1786,30.0,43678.0,12.3,98.0,Indie,VISUAL ARTS,VISUAL ARTS/Key,2850310
Shoulders of Giants: Ultimate,12-08-2024,2653,20.0,43600.0,4.8,90.0,Indie,Moving Pieces Interactive,Moving Pieces Interactive,2283880
Dragon Chronicles: Black Tears,14-07-2024,3987,15.0,43542.0,10.2,77.0,Indie,Nyou,Nyou,2701350
The Heroes Around Me,14-06-2024,7510,7.0,43017.0,2.9,,Indie,OKJOY,OKJOY,1768470
Monster Jam™ Showdown,29-08-2024,955,50.0,42966.0,4.5,80.0,Indie,Milestone S.r.l.,Milestone S.r.l.,2350280
Bagel Love Story,20-05-2024,13134,4.0,42955.0,2.7,98.0,Indie,NVLMaker,橘子班,2798600
Sneak Out,06-06-2024,230771,0.0,42896.0,7.5,57.0,Indie,Kinguin,Kinguin Studios,2410490
Splodey,04-06-2024,4765,13.0,42892.0,5.5,92.0,Indie,Mad Mushroom,Send It Studios,2204170
Staffer Reborn,26-04-2024,17834,3.0,42836.0,0.9,98.0,Indie,Team Tetrapod,Team Tetrapod,2658920
Nodebuster,13-08-2024,15819,3.0,42568.0,2.7,99.0,Indie,Goblobin,Goblobin,3107330
Planetaries,15-08-2024,2578,20.0,42508.0,8.3,61.0,Indie,EY-Studio,EY-Studio,2800450
It Was Raining That Night,29-05-2024,4838,12.0,42490.0,1.9,74.0,Indie,Deafperv,VeronicaPerv,2543770
E.E.R.I.E2,16-06-2024,8217,8.0,42377.0,5.6,84.0,Indie,Ureasoft,Ureasoft,2162780
Escort's Secrets 18+,06-01-2024,6650,10.0,42371.0,2.7,65.0,Indie,BanzaiProject,BanzaiProject,2668160
Anno 1602 History Edition,22-04-2024,8401,10.0,42332.0,6.9,67.0,AAA,Ubisoft,Ubisoft Mainz,2820130
Irotoridori No Sekai HD - The Colorful World,16-02-2024,1533,35.0,42280.0,33.4,99.0,Indie,NekoNyan Ltd.,FAVORITE,2591380
XiuzhenWorld / 修真世界,30-04-2024,7497,10.0,42253.0,85.5,77.0,Indie,Noforgetit,Noforgetit,2868430
Spire Horizon,14-02-2024,5676,10.0,42180.0,8.8,80.0,Indie,Mendoka,Mendoka,2321880
Kristala,06-06-2024,1748,30.0,42089.0,3.3,90.0,Indie,Astral Clocktower Studios,Astral Clocktower Studios,1206410
Bureau of Contacts,20-06-2024,7620,8.0,42019.0,2.9,84.0,Indie,MIROWIN,MIROWIN,2840210
Lilim wants to Lv up♥,27-08-2024,5130,10.0,41953.0,4.2,81.0,Indie,Playmeow,"Yoü studio,Maker製造機",2651570
myPOPGOES,01-08-2024,11465,5.0,41949.0,4.0,84.0,Indie,Clickteam,Kane Carter,2429350
Hypnosis Card,19-01-2024,10812,5.0,41891.0,2.0,77.0,Indie,Lovely Games,,2544990
SOUL COVENANT,18-04-2024,1026,50.0,41764.0,3.0,75.0,Indie,"Thirdverse, Co., Ltd.","Thirdverse, Co., Ltd.",2237740
Just Click The Button,17-01-2024,15760,3.0,41751.0,6.1,93.0,Indie,Simon Eftestol,Simon Eftestol,2577760
Tools Up! Ultimate Edition,05-01-2024,4051,35.0,41386.0,4.2,79.0,Indie,Untold Tales,The Knights of Unity,2551920
Journey to the West Survivor,24-03-2024,10946,6.0,41369.0,10.4,87.0,Indie,Leyo Games,Buding Games,2450100
Idle Heros,01-05-2024,18688,0.0,41269.0,74.3,85.0,Indie,EGAME,EGAME,1686290
Mylene and the Lust temple,01-02-2024,3866,14.0,41218.0,1.4,89.0,Indie,072 Project,キラ☆タマ,2562550
Back,30-07-2024,7243,7.0,41201.0,1.4,83.0,Indie,MYSTERY CROWN,MYSTERY CROWN,2913040
The Necromancer Arises,25-03-2024,5251,10.0,41069.0,2.2,82.0,Indie,Whiteleaf Studio,Whiteleaf Studio,2413570
Operation: Polygon Storm,12-08-2024,3786,15.0,40987.0,2.3,80.0,Indie,Untold Tales,Toxic Studio,2310160
Old Coin Pusher Friends 3,25-07-2024,12042,4.0,40967.0,12.5,97.0,Indie,STP WORKS,STP WORKS,3040390
E-Startup 2 : Business Tycoon,14-05-2024,4124,13.0,40926.0,4.3,80.0,Indie,Polytale Games,Polytale Games,2547750
Riviera: The Promised Land,16-07-2024,1601,35.0,40866.0,8.1,96.0,Indie,Sting,Sting,2891280
Life Eater,16-04-2024,3362,15.0,40857.0,1.8,85.0,Indie,"Strange Scaffold,Frosty Pop",Strange Scaffold,2632930
This Grand Life 2,20-06-2024,2945,17.0,40793.0,13.1,92.0,Indie,Poking Water Games,Poking Water Games,2459490
Read Only Memories: NEURODIVER,15-05-2024,3328,15.0,40762.0,3.7,70.0,Indie,Chorus Worldwide Games,"MidBoss, LLC.",1293910
Alchemist Quest,26-01-2024,4175,13.0,40748.0,3.3,77.0,Indie,Kagura Games,ShiroKuroSoft,2657720
Kitten Burst,20-01-2024,2073,25.0,40690.0,7.5,100.0,Indie,Lithodelphis,Lithodelphis,1592360
Dusk City,25-07-2024,2052,25.0,40666.0,2.8,99.0,Indie,Dieselmine,Suteneko Lab.,2973120
Class of Heroes: Anniversary Edition,26-04-2024,2484,20.0,40490.0,17.3,77.0,Indie,"PQube,ACQUIRE Corp.",Zerodiv,2195780
Beach Club Simulator 2024,16-08-2024,7981,9.0,40336.0,5.3,82.0,Indie,Catsupp Games,Catsupp Games,2856030
Beyond Hanwell,25-08-2024,2484,18.0,40218.0,3.2,82.0,Indie,Steel Arts Software Ltd,Steel Arts Software Ltd,2565550
Armored Suit Solgante,14-06-2024,4236,13.0,40188.0,4.0,82.0,Indie,Kagura Games,GapTax,2914470
Sun Breed,16-04-2024,4222,15.0,40182.0,4.7,92.0,Indie,SuperWriter Games LLC,SuperWriter Games LLC,2573950
风流公子romantic young man,25-07-2024,10210,5.0,40067.0,2.7,90.0,Indie,Ronin SoftWork,Ronin SoftWork,2829600
My step family,15-03-2024,5403,10.0,40051.0,0.9,56.0,Indie,Kun family,Kun family,2753820
无休仙途,25-07-2024,8822,6.0,40010.0,43.5,77.0,Indie,GOCORE,GOCORE,2654540
Lazaret,20-02-2024,4436,11.0,39971.0,3.0,88.0,Indie,Aegon Games,Aegon Games,2088280
修仙神诀,27-06-2024,12909,0.0,39887.0,12.4,74.0,Indie,雷鸣工作室,雷鸣工作室,3029670
Silent Rain,15-07-2024,5574,10.0,39816.0,3.7,67.0,Indie,Seedlers Interactive,"2Brains&Coffee,Seedlers Interactive",1791910
Slavania,13-03-2024,3238,16.0,39769.0,5.3,64.0,Indie,"FrostLeaf Games LLC,Game Art Pioneers",FrostLeaf Games LLC,1349600
Rebirth! New Lover,06-08-2024,5441,9.0,39756.0,3.4,91.0,Indie,次元边界,次元边界,2803810
Echocalypse: The Scarlet Covenant,07-06-2024,7701,0.0,39735.0,8.6,54.0,Indie,Yoozoo (Singapore) Pte. Ltd,Yoozoo (Singapore) Pte. Ltd,2917030
Candy & Toys Store Simulator,26-06-2024,3531,13.0,39589.0,8.5,91.0,Indie,Ox Games,Ox Developer,3013700
Cats Hidden Around the World,09-06-2024,10740,5.0,39527.0,2.3,97.0,Indie,Travellin Cats,Travellin Cats,2377970
TASOKARE HOTEL Re:newal,22-01-2024,1283,40.0,39446.0,6.3,92.0,Indie,SEEC Inc.,SEEC Inc.,2622260
MACROSS -Shooting Insight-,27-03-2024,1100,40.0,39428.0,2.5,48.0,Indie,Bushiroad Inc.,KAMINARI GAMES Inc.,2103230
Britannia,04-04-2024,3036,25.0,39342.0,24.3,74.0,Indie,"PID Games,Avalon Digital",Avalon Digital,1268420
Lysfanga: The Time Shift Warrior,13-02-2024,2741,20.0,39323.0,8.2,78.0,Indie,Spotlight by Quantic Dream,Sand Door Studio,2161620
Snapshot VR,05-04-2024,2907,20.0,39215.0,25.5,87.0,Indie,Giant Scam Industries,Giant Scam Industries,1133580
Shanghai Summer,07-02-2024,3771,13.0,39145.0,2.7,,Indie,Astrolabe Games,FUTU Studio,1323830
Boyhood's End,05-09-2024,4394,11.0,39110.0,1.8,86.0,Indie,"WSS playground,Alliance Arts","WSS playground,buriki clock",2403290
Sex Detective [18+],20-01-2024,6159,10.0,39057.0,2.6,74.0,Indie,BanzaiProject,BanzaiProject,2732510
飛天歷險2024(Dream Of Mirror Online),18-06-2024,5027,0.0,38814.0,53.8,86.0,Indie,Hong Kong GameStar Limited,SOFTSTAR ENTERTAINMENT,2899890
Chromosome Evil 2,15-02-2024,2504,20.0,38734.0,15.4,91.0,Indie,S.C. 16 BIT NIGHTS S.R.L.,"S.C. 16 BIT NIGHTS S.R.L.,dovganovskiy",2529770
A fascinating story,14-06-2024,5323,10.0,38560.0,2.8,75.0,Indie,Lovely Games,L&P,2756390
STRIDE: Fates,16-05-2024,1456,30.0,38478.0,2.2,44.0,Indie,Joy Way,Joy Way,2597880
Brainwashing with Tentacles R,25-05-2024,4016,12.0,38429.0,1.6,73.0,Indie,Dieselmine,kagurado,2862430
False Dream,16-01-2024,22446,2.0,38327.0,2.9,97.0,Indie,TenkaiGames,TenkaiGames,2753720
Chocolate Factory,18-06-2024,2560,20.0,38045.0,5.2,58.0,Indie,Tbjbu2,Tbjbu2,2854710
Touhou ~Red Empress Devil.,07-03-2024,5933,8.0,37988.0,1.2,79.0,Indie,STUDIO POCO,STUDIO POCO,1734070
Orgasm Academy 💦,13-04-2024,5975,10.0,37850.0,2.7,83.0,Indie,Lust Desires 🖤,Lust Desires 🖤,2820600
Timemelters,28-02-2024,2700,20.0,37803.0,5.2,94.0,Indie,Autoexec Games,Autoexec Games,1096140
Escape Memoirs: Safe House,19-07-2024,4474,10.0,37696.0,4.0,97.0,Indie,0 Deer Soft Partnership,0 Deer Soft,2722360
Inn Tycoon,26-08-2024,5278,9.9,37621.0,4.3,87.0,Indie,"Evil Goose Games,Gamersky Games",Evil Goose Games,2749000
Legend of the Master Baiter,21-06-2024,5111,10.0,37590.0,4.8,78.0,Indie,Kagura Games,BigWednesday,2864830
Silent Depth 2: Pacific,16-07-2024,3423,13.0,37567.0,3.5,58.0,Indie,MicroProse Software,MicroProse Software,2591010
Pampas & Selene: The Maze of Demons,21-05-2024,5126,10.0,37487.0,7.3,93.0,Indie,Unepic Games,@unepic_fran,1966220
Union of Gnomes,18-07-2024,3038,15.0,37472.0,4.9,93.0,Indie,HeroCraft PC,Hoolignomes,2097030
DATE A LIVE: Ren Dystopia,05-09-2024,1223,40.0,37412.0,3.6,96.0,Indie,Idea Factory International,"Idea Factory,Compile Heart,Sting",2627780
风岬-The Everlasting lovestory at the Windcap,13-02-2024,7858,6.0,37405.0,3.8,,Indie,百歌CentChansons,百歌CentChansons,2414750
My Little Pony: A Zephyr Heights Mystery,17-05-2024,1064,40.0,37380.0,5.8,88.0,Indie,Outright Games Ltd.,Drakhar Studios,2235440
World Turtles,15-04-2024,2761,20.0,37235.0,2.9,78.0,Indie,indie.io,Re: cOg Mission,1512050
Darkness Revenge,08-02-2024,4505,10.0,37160.0,3.0,81.0,Indie,Hematite,Hematite,2112680
Linkito,23-07-2024,2923,15.0,37043.0,4.5,88.0,Indie,"Playdigious Originals,Kimeria Games",Kalinarm,2312770
Aground Zero,18-01-2024,2046,20.0,36809.0,13.9,92.0,Indie,Fancy Fish Games,Fancy Fish Games,1795570
Towerful Defense: A Rogue TD,29-07-2024,4968,10.0,36774.0,4.4,78.0,Indie,Mini Fun Games,Mini Fun Games,2453610
SEX Airlines 🔞✈️,13-07-2024,5700,10.0,36654.0,1.3,72.0,Indie,Play & Cum 💦,Play & Cum 💦,3014600
Virtua Unlimited Project,24-04-2024,4091,11.0,36626.0,7.5,,Indie,Neverland Entertainment,Virtua Ride System,1934030
重生了还要我谈恋爱？,25-07-2024,6109,8.0,36601.0,3.2,95.0,Indie,画域互动,画域互动,2804510
14 Minesweeper Variants 2,14-06-2024,6567,7.0,36460.0,30.8,98.0,Indie,Artless Games,"Alith Games,Artless Games",2631960
Die by the Blade,16-05-2024,2085,20.0,36435.0,4.8,61.0,Indie,Grindstone,"Grindstone,Triple Hill Interactive,Toko Midori Games",1154670
Real Dive World,10-05-2024,2501,20.0,36294.0,2.7,82.0,Indie,OTAKU Plan,TANUKIHOUSE,2337090
Climber Animals: Together,22-03-2024,12770,4.0,36224.0,2.7,93.0,Indie,Weakfish Studio Publishing,Payoff Games,2744880
Sid Meier's Alpha Centauri™ Planetary Pack,07-03-2024,18231,5.0,36165.0,15.2,95.0,AAA,Electronic Arts,Firaxis Games,2204130
Archean,16-05-2024,2138,20.0,36163.0,35.6,92.0,Indie,"batcholi,FloDKSM","batcholi,FloDKSM",2941660
洪荒：我挂机成圣,14-01-2024,6629,7.0,36125.0,271.6,50.0,Indie,老乌贼工作室,老乌贼工作室,2123310
Knights Within,15-05-2024,2479,18.0,36030.0,7.1,97.0,Indie,Indecision Labs,Indecision Labs,2406180
Master of Chess,12-06-2024,3176,15.0,36029.0,9.3,86.0,Indie,BRANE,BRANE,2248900
Umbraclaw,30-05-2024,1971,25.0,36009.0,4.5,93.0,Indie,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",2428420
C.A.R.D.S. RPG: The Misty Battlefield,22-05-2024,1133,40.0,35903.0,10.3,46.0,Indie,ACQUIRE Corp.,ACQUIRE Corp.,2539880
Rogue Fable IV,26-01-2024,3991,12.0,35878.0,26.7,92.0,Indie,Pixel Forge Games,Pixel Forge Games,2720010
3 Minutes to Midnight - A Comedy Graphic Adventure,22-08-2024,1742,25.0,35867.0,7.5,92.0,Indie,Scarecrow Studio,Scarecrow Studio,832500
Innocence Or Money | Season 2 | Episode 1,10-08-2024,9947,4.0,35719.0,1.9,75.0,Indie,MarcialART,MarcialART,3064420
QANGA,02-09-2024,2197,20.0,35571.0,3.3,85.0,Indie,iolaCorp Studio,iolaCorp Studio,1648190
The Cooking Game VR,09-08-2024,3127,20.0,35330.0,1.7,72.0,Indie,Play Spirit Limited,Play Spirit Limited,857180
Top Racer Collection,06-03-2024,2184,20.0,35298.0,4.2,83.0,Indie,"QUByte Interactive,Piko Interactive,bleem.net",QUByte Interactive,2214000
CORPUS EDAX,05-09-2024,2228,20.0,35271.0,2.1,79.0,Indie,Luis G. Bento,Luis G. Bento,2017610
Ballance,05-01-2024,9412,6.0,35198.0,1.6,78.0,Indie,Ziggurat,Cyparade,2000770
Galactic Glitch,15-07-2024,3974,13.0,35181.0,4.5,94.0,Indie,Crunchy Leaf Games,Crunchy Leaf Games,1536620
The Assistant Season 2,29-08-2024,4501,10.0,35119.0,2.9,87.0,Indie,Backhole,Backhole,2994260
GOBLIN SLAYER -ANOTHER ADVENTURER- NIGHTMARE FEAST,28-02-2024,700,55.0,34638.0,8.3,48.0,Indie,Bushiroad Inc.,"APOLLOSOFT Inc.,mebius.",2456410
Unspoken,01-04-2024,13185,3.0,34570.0,1.2,91.0,Indie,Weeping Studio,Weeping studio,2846290
Trap Yuri Garden,10-06-2024,3168,15.0,34538.0,4.2,93.0,Indie,"Eroge Japan,Sanuk Inc.",No Strike,2183910
Llamasoft: The Jeff Minter Story,13-03-2024,1437,30.0,34480.0,2.6,93.0,Indie,Digital Eclipse,Digital Eclipse,2236680
Busty Milf and Summer Country Sex Life,25-04-2024,1920,23.0,34423.0,2.5,94.0,Indie,Dieselmine,MikanBatake,2795310
Retrowave World,10-05-2024,4976,10.0,34177.0,6.4,83.0,Indie,RewindApp,RewindApp,2413050
War Tortoise,27-03-2024,3157,13.0,34147.0,35.6,82.0,Indie,Foursaken Media,Foursaken Media,2120250
The Night is Grey,05-01-2024,2599,16.0,34137.0,6.3,83.0,Indie,Whalestork Interactive,Whalestork Interactive,1281490
エスカレーター |  Escalator,06-01-2024,13759,3.0,34019.0,1.0,38.0,Indie,Toyasky,Toyasky,2738050
Thalassa: Edge of the Abyss,01-08-2024,1885,20.0,33913.0,5.2,92.0,Indie,Team17 Digital Ltd,Sarepta Studio,1783680
Forest Ranger Simulator,19-06-2024,2968,15.0,33771.0,6.8,48.0,Indie,FreeMind S.A.,"HOT CODE COMPANY,FreeMind S.A.,VIRTUAL MAGIC",1185780
Fallen Leaf,15-07-2024,2354,17.0,33220.0,6.5,90.0,Indie,Delta Shore Games,Delta Shore Games,1459010
Été,23-07-2024,1903,25.0,33085.0,6.7,99.0,Indie,Impossible,Impossible,1065070
Monster Girl Conquest Records Battle Orc,09-05-2024,3604,11.0,33040.0,2.7,93.0,Indie,Shady Corner Games,mozu field,2680840
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,23-04-2024,1443,30.0,32967.0,2.6,62.0,Indie,GameMill Entertainment,Cradle Games,2527580
Dungeon Exiles,07-08-2024,3916,10.0,32913.0,8.3,77.0,Indie,Gronkins,Gronkins,2850100
An English Haunting,22-05-2024,2877,14.0,32895.0,5.0,96.0,Indie,"Postmodern Adventures,enComplot",Postmodern Adventures,2474030
Trackline Express,18-04-2024,2838,15.0,32789.0,5.5,85.0,Indie,Bubblebird Studio,Bubblebird Studio,2343920
Rum & Gun,26-08-2024,8875,5.0,32753.0,12.1,94.0,Indie,Borington,Borington,1210800
Plushie from the Sky,06-05-2024,3684,12.0,32723.0,2.4,96.0,Indie,fishwind,fishwind,1679510
飄流幻境M,25-06-2024,13101,0.0,32631.0,42.3,74.0,Indie,Chinesegamer,Chinesegamer,1481340
Horny Suika: Wet Watermelon,02-08-2024,7860,5.0,32631.0,3.6,91.0,Indie,Tora Creatives,Tora Creatives,2739980
Nine Tereasures of Liuyin,01-08-2024,2160,19.0,32506.0,3.0,,Indie,kingnagame,kingnagame,2949580
Sore wa Maichiru Sakura no You ni -Re:BIRTH-,07-06-2024,1132,40.0,32480.0,10.1,89.0,Indie,HIKARI FIELD,Navel,2754170
TryAndLove,25-01-2024,5564,7.0,32472.0,3.3,51.0,Indie,MYSTERY CROWN,MYSTERY CROWN,2715590
Wulin Chess,01-02-2024,5968,12.0,32365.0,30.1,76.0,Indie,East2west Games,LameCat Studio,1525410
My love with the GirlsGroup,17-04-2024,2255,25.5,32198.0,2.7,72.0,Indie,Bing World,Bing World,2852710
Benefitship,12-07-2024,12641,3.0,32166.0,1.8,96.0,Indie,RFH Games,RFH Games,2404000
Lust & Legends,09-05-2024,3127,13.0,32128.0,2.3,79.0,Indie,Entropy Digital Entertainment,Entropy Digital Entertainment,2899030
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,16-07-2024,593,60.0,32016.0,3.5,97.0,AA,SEGA,CyberConnect2,2424110
Abathor,25-07-2024,2593,15.0,31842.0,5.0,91.0,Indie,JanduSoft,Pow Pixel Games,2295610
Yet Another Fantasy Title (YAFT),10-04-2024,2557,20.0,31754.0,2.9,61.0,Indie,"Atomic Wolf,Games Operators",Atomic Wolf,1993450
GHOSTWARE: Arena of the Dead,10-06-2024,2758,15.0,31678.0,2.7,85.0,Indie,Mothership Loudspeakerz,Daev Team,1893370
西游-琉璃盏,11-07-2024,2563,15.0,31644.0,8.2,85.0,Indie,Dark Dimension,Dark Dimension,1309510
Parfait Remake,19-07-2024,1254,35.0,31543.0,6.3,90.0,Indie,HIKARI PULSE,"GIGA,Entergram",2947220
Only Up: SKIBIDI TOGETHER,12-07-2024,8729,5.0,31466.0,2.4,81.0,Indie,"Rosa Special Studio,Grand Technology Associates","Grand Technology Associates,Rosa Special Studio",2928650
希望之城 The City Of Hope,04-03-2024,5701,7.0,31464.0,14.0,71.0,Indie,家里蹲工作室,家里蹲工作室,2424740
DEFENDUN : Hero Defense,14-02-2024,7029,9.0,31353.0,7.9,77.0,Indie,Gonggamorecontents Inc.,Gonggamorecontents Inc.,2323810
Futanari di Funghi,03-06-2024,5273,7.0,31301.0,5.1,81.0,Indie,Shady Corner Games,Ahegames,2496640
Brothel Secrets 🔞,27-01-2024,5429,10.0,31198.0,1.6,77.0,Indie,Octo Games,Octo Games,2721240
Roommates,07-02-2024,4147,10.0,31098.0,3.8,93.0,Indie,Octaday,Octaday,2775110
SANYA,01-03-2024,2638,15.0,31003.0,1.5,75.0,Indie,helpnode,helpnode,1667360
"Sex, Camera, Action! 🔞",27-07-2024,5419,10.0,30951.0,1.8,78.0,Indie,Play & Cum 💦,Play & Cum 💦,2955820
