name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Ants Took My Eyeball,19-04-2024,4411,17.0,61223.0,9.0,93.0,Indie,Bosmic Forge,Bosmic Forge,1627890
Zoo Simulator,26-07-2024,3737,20.0,61087.0,3.3,79.0,Indie,"Games Incubator,PlayWay S.A.",Games Incubator,2129220
Lagoon Lounge 2 : The Secret Roommate,26-01-2024,5279,14.0,61068.0,3.1,99.0,Indie,KAIJYU-09,KAIJYU-09,2754340
失乐星图Nornium,09-08-2024,67552,0.0,60846.0,2.2,15.0,Indie,Flaring Cloister,Flaring Cloister,2877160
Firefighter Connor,30-04-2024,8216,9.0,60731.0,2.2,94.0,Indie,XSSPACE,XSSPACE,2384920
STEPMOM: Milf Scandal 💖,06-04-2024,8747,10.0,60707.0,1.7,74.0,Indie,Lust Desires 🖤,Lust Desires 🖤,2879480
Fossilfuel 2,19-02-2024,3536,20.0,60574.0,3.4,83.0,Indie,DangerousBob Studio LLC,DangerousBob Studio LLC,2299660
Grim Realms,16-03-2024,7912,15.0,60485.0,22.2,81.0,Indie,Edym Pixels,Edym Pixels,1522280
Dragon Island,11-03-2024,4540,16.0,60119.0,5.3,49.0,Indie,Kulplant,Kulplant,1554470
Vendir: Plague of Lies,30-05-2024,5394,15.0,60002.0,7.9,77.0,Indie,Early Morning Studio,Early Morning Studio,1478850
TFC: The Fertile Crescent,13-06-2024,6084,15.0,59978.0,9.1,93.0,Indie,Wield Interactive,Wield Interactive,1674820
Quest Master,29-05-2024,3682,20.0,59887.0,14.2,98.0,Indie,Apogee Entertainment,"Julian Creutz,Skydevilpalm",2094070
The Quintessential Quintuplets - Memories of a Quintessential Summer,23-05-2024,2062,35.0,59790.0,6.7,94.0,AA,"Spike Chunsoft Co., Ltd.",MAGES. Inc.,2507610
Venture to the Vile,21-05-2024,2933,25.0,59625.0,8.2,75.0,Indie,Aniplex Inc.,Studio Cut to Bits,2153750
Victory at Sea Atlantic - World War II Naval Warfare,05-04-2024,1822,40.0,59473.0,6.7,65.0,Indie,Evil Twin Artworks,Evil Twin Artworks,1674830
The World's Egg - For Those Who Dream,29-03-2024,6239,13.0,59464.0,3.6,84.0,Indie,Kagura Games,Hasoyua,2614670
Lunar's Chosen - Episode 2,28-03-2024,5851,12.0,59390.0,2.8,72.0,Indie,PTGames,PTGames,2697200
Be My Horde,18-06-2024,13942,5.0,59326.0,4.3,88.0,Indie,Polished Games,Polished Games,2499520
King of the Bridge,08-03-2024,21749,3.0,59016.0,2.2,96.0,Indie,Finn Schuuring,Finn Schuuring,2523120
Inkbound,09-04-2024,156820,30.0,3139302.0,29.5,91.0,Indie,Shiny Shoe,Shiny Shoe,1062810
Sky: Children of the Light,10-04-2024,529290,0.0,3087626.0,30.5,84.0,Indie,thatgamecompany,thatgamecompany,2325290
古龙风云录,01-02-2024,158807,30.0,3080764.0,21.4,60.0,Indie,心火游戏,香港商河洛互動娛樂股份有限公司,2340650
HELLCARD,01-02-2024,208084,25.0,3008517.0,15.3,85.0,Indie,"Skystone Games,Surefire.Games",Thing Trunk,1201540
